Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	133	49606	49726	120			0.42649	0.45327	2.57772										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	134	49826	50376	550			0.42572	0.44999	2.61243										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	135	50396	50775	380			0.41817	0.44562	2.66273										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	136	50815	51065	250			0.42356	0.45448	2.61759										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	137	51125	52055	929			0.41913	0.43721	2.641										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	138	52115	52294	180			0.42608	0.43566	2.61589										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	31	52364	52424	60							224.97	253.29							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	32	52614	52644	30							137.74	138.7							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	33	52684	52704	20							103.61	103.61							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	34	52744	52774	30							164.58	175.16							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	139	52814	52954	140			0.42444	0.44774	2.57997										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	140	52974	53074	100			0.45332	0.3998	2.50491										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	141	53094	53324	230			0.47052	0.35388	2.41308										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	142	53364	54053	690			0.48632	0.29938	2.38501										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	143	54073	54173	100			0.49638	0.2463	2.44462										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	144	54193	54323	130			0.51744	0.20901	2.4702										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	145	54343	54743	400			0.528	0.20232	2.43752										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	146	54763	55223	460			0.53844	0.18824	2.41714										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	147	55323	55742	420			0.54378	0.18578	2.40559										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	148	55762	55872	110			0.51073	0.27477	2.4433										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	149	55912	55982	70			0.48676	0.32886	2.43479										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	150	56022	56142	120			0.49468	0.35388	2.4104										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	151	56162	56272	110			0.47957	0.44657	2.38805										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	35	56272	56292	20							130.88	130.88				0.47957	0.44657		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	36	56322	56342	20							115.27	115.27						0.48593	0.56001
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	152	56342	56442	100			0.48593	0.56001	2.3258										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	153	56462	56832	370			0.47053	0.59127	2.34794										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	37	56832	56882	50						50.42	268.16	386.45	10.73			0.47053	0.59127	0.57193	0.46862
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	154	56882	57122	240			0.57193	0.46862	2.51591										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	155	57162	57262	100			0.53891	0.42795	2.51681										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	38	57262	57291	30							192.06	237.96				0.53891	0.42795		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	39	57311	57331	20							209.51	209.51							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	156	57411	57561	150			0.41275	0.47989	2.52831										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	157	57581	57671	90			0.42791	0.42556	2.57808										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	158	57691	57801	110			0.43899	0.38813	2.64245										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	159	57841	58111	270			0.45197	0.34793	2.65472										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	160	58131	58261	130			0.45677	0.31935	2.60676										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	161	58281	58371	90			0.46066	0.30399	2.58679										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	162	58391	58591	200			0.46232	0.28138	2.56										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	163	58661	58881	220			0.44868	0.26267	2.5694										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	164	58941	59090	150			0.45909	0.25104	2.55067										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	165	59190	59440	250			0.46812	0.24479	2.54869										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	166	59460	59710	250			0.46855	0.23246	2.57311										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	167	59890	60020	130			0.47218	0.2748	2.56975										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	168	60040	60540	500			0.48125	0.30669	2.57365										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	169	60580	61009	430			0.48159	0.2945	2.5298										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	170	61109	61369	260			0.46557	0.30113	2.49988										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	171	61389	62189	800			0.46148	0.30582	2.54296										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	172	62209	62299	90			0.46791	0.30986	2.54198										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	173	62359	62608	250			0.47633	0.30408	2.55611										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	174	62628	62888	260			0.47187	0.31257	2.5532										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	175	62908	63018	110			0.46563	0.30502	2.55645										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	176	63058	64008	949			0.47393	0.29324	2.51378										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	177	64028	64118	90			0.48684	0.28635	2.53272										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	40	64118	64147	30						24.68	144.7	177.39	5.61			0.48684	0.28635	0.55092	0.2569
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	178	64147	64227	80			0.55092	0.2569	2.54445										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	179	64297	64707	410			0.5382	0.2698	2.55914										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	41	64837	64877	40							146.25	152.72							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	180	64897	64967	70			0.62597	0.56383	2.53913										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	42	65007	65047	40							193.93	212.07							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	43	65057	65077	20							166.49	183.1							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	44	65087	65097	10							135.31	135.31							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	181	65157	65267	110			0.55074	0.53115	2.5698										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	182	65307	65557	250			0.53832	0.50705	2.57916										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	183	65577	65976	400			0.53286	0.49899	2.56262										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	184	65996	66086	90			0.50767	0.44982	2.58818										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	45	66166	66196	30							283.13	312.68							
