Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	41	13017	13087	70			0.45068	0.43925	2.52181										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	42	13127	13237	110			0.43133	0.42934	2.47649										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	43	13297	13397	100			0.44311	0.52443	2.36674										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	6	13397	13417	20						324.54	113.08	120.15	4.17			0.44311	0.52443	0.48417	0.55367
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	44	13417	13507	90			0.48417	0.55367	2.39609										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	45	13527	13657	130			0.48653	0.53189	2.43292										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	46	13677	13807	130			0.4744	0.47374	2.48322										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	47	13827	13927	100			0.46867	0.44495	2.50179										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	48	13947	14077	130			0.46204	0.43048	2.50638										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	49	14097	14207	110			0.46424	0.44547	2.45535										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	50	14227	14477	250			0.46827	0.43533	2.45739										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	51	14527	14796	270			0.4669	0.42102	2.4588										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	52	14836	15876	1039			0.46465	0.41288	2.50624										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	7	15876	15906	30							128.74	134.64				0.46465	0.41288		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	8	15986	16006	20							142.83	142.83							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	9	16046	16076	30							109.44	109.44							
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	53	16096	16276	180			0.36534	0.34234	2.62255										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	54	16365	16475	110			0.43474	0.35215	2.59553										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	55	16495	16615	120			0.44604	0.35851	2.54379										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	56	16635	16865	230			0.47257	0.37415	2.44968										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	57	16885	17045	160			0.47258	0.38571	2.39196										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	58	17065	17705	640			0.46738	0.39853	2.4044										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	59	17795	19404	1609			0.47338	0.40881	2.51559										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	10	19404	19444	40						272.55	308.44	416.02	13.59			0.47338	0.40881	0.48579	0.68788
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Whole	60	19444	19574	130			0.48579	0.68788	2.43717										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	11	19574	19594	20							121.58	121.58				0.48579	0.68788		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	12	19634	19654	20							156.18	156.18						0.47791	0.72565
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	61	19654	19853	200			0.47791	0.72565	2.41675										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	62	19893	20103	210			0.48436	0.6659	2.39773										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	13	20103	20163	60							309.79	379.58				0.48436	0.6659		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	14	20213	20263	50							237.6	251.41							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	15	20303	20343	40							146.98	158.31							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	16	20373	20393	20							118.82	125.55						0.42787	0.4817
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	63	20393	20543	150			0.42787	0.4817	2.45492										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	64	20563	21792	1229			0.46961	0.49204	2.38074										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	65	21812	22622	810			0.46105	0.49378	2.46429										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	66	22662	23821	1159			0.45414	0.50263	2.49528										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	17	23821	23841	20							235.45	246.53				0.45414	0.50263		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	18	23861	23881	20							144.22	185.56						0.47437	0.51605
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Whole	67	23881	23981	100			0.47437	0.51605	2.43169										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	19	23981	24011	30							208.38	226.65				0.47437	0.51605		
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	68	24031	24201	170			0.51334	0.52534	2.43807										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	20	24201	24221	20						154.11	225.1	248.78	5.54			0.51334	0.52534	0.45915	0.49904
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	69	24221	25690	1469			0.45915	0.49904	2.47989										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	21	25760	25850	90							205.58	244.87							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	22	25870	25900	30							330.99	433.12						0.46002	0.53321
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Whole	70	25900	26400	500			0.46002	0.53321	2.48614										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Whole	23	26400	26440	40						106.02	211.21	243.49	1.19			0.46002	0.53321	0.45032	0.49945
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	71	26440	27859	1419			0.45032	0.49945	2.51994										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	72	28019	28199	180			0.45173	0.48682	2.54939										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	24	28199	28229	30							234.68	257.89				0.45173	0.48682		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	25	28448	28468	20							124.45	124.45							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	26	28518	28538	20							199.2	199.2							
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	73	28728	28828	100			0.48443	0.46257	2.57685										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	74	28868	28978	110			0.45404	0.43479	2.49096										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	75	28998	29508	510			0.43945	0.41814	2.37861										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	76	29548	30357	810			0.42939	0.41119	2.43135										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	77	30377	31876	1499			0.42062	0.40179	2.56849										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	78	31896	32426	530			0.43267	0.39072	2.56812										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	79	32446	32576	130			0.44219	0.41322	2.56437										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	80	32596	32716	120			0.45681	0.41628	2.54635										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	27	32736	32766	30							233.26	233.26							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	28	32916	32976	60							199.23	318.59							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	29	33076	33096	20							173.81	173.81							
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	81	33136	33236	100			0.30935	0.6105	2.48608										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	30	33296	33316	20							106.62	106.62						0.38512	0.51086
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	82	33316	33425	110			0.38512	0.51086	2.43319										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	83	33495	33565	70			0.43	0.4909	2.43987										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	84	33585	33725	140			0.44521	0.48489	2.41863										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	85	33745	34265	520			0.48205	0.40419	2.43651										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	86	34395	34625	230			0.48617	0.26604	2.46947										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	87	34645	34795	150			0.48392	0.24835	2.4955										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	88	34815	34965	150			0.47363	0.23897	2.48654										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	89	35045	35314	270			0.47002	0.23033	2.5094										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	90	35334	35464	130			0.4676	0.24277	2.4851										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	91	35634	35714	80			0.46532	0.29787	2.47684										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	92	35734	35854	120			0.46642	0.3189	2.48367										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	93	35894	35994	100			0.46406	0.35528	2.44999										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	94	36034	36144	110			0.4618	0.37595	2.42806										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	95	36184	36254	70			0.45819	0.40265	2.40991										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	31	36254	36274	20							307.26	307.26				0.45819	0.40265		
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	96	36334	36524	190			0.47436	0.1573	2.46932										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	97	36614	36824	210			0.48167	0.16086	2.38237										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	98	36864	37113	250			0.48809	0.17825	2.31169										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	99	37153	37293	140			0.4996	0.18913	2.35593										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	100	37313	37523	210			0.48194	0.2004	2.30122										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	101	37563	38093	530			0.50114	0.1964	2.38356										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	102	38153	39212	1059			0.50174	0.20988	2.43648										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	103	39252	39432	180			0.49637	0.19191	2.50209										
