event_type	start_time	end_time	duration	saccade_amplitude
Fixation	98758	98847	90	
Saccade	98847	98857	10	
Saccade	98887	98897	10	
Fixation	99107	99487	380	
Saccade	99487	99507	20	
Saccade	99527	99547	20	
Fixation	99547	99737	190	
Saccade	99737	99777	40	
Saccade	99787	99797	10	
Fixation	99797	99987	190	
Fixation	100007	100087	80	
Saccade	100287	100307	20	
Saccade	100317	100327	10	
Saccade	100347	100417	70	
Fixation	100417	100487	70	
Saccade	100487	100496	10	
Saccade	100536	100566	30	
Fixation	100566	100676	110	
Saccade	100676	100716	40	4.99
Fixation	100716	100846	130	
Saccade	100846	100916	70	
Saccade	100976	101006	30	
Saccade	101046	101096	50	
Saccade	101146	101166	20	
Fixation	101206	101366	160	
Saccade	101366	101396	30	
Saccade	101416	101426	10	
Fixation	101426	101596	170	
Saccade	101596	101616	20	4.07
Fixation	101616	101726	110	
Saccade	102026	102046	20	
Saccade	102086	102096	10	
Fixation	102096	102305	210	
Saccade	102305	102345	40	11.89
Fixation	102345	102565	220	
Saccade	102565	102605	40	2.71
Fixation	102605	103085	480	
Fixation	103265	103425	160	
Saccade	103425	103485	60	17.4
Fixation	103485	103595	110	
Saccade	103595	103605	10	2.45
Fixation	103605	103805	200	
Saccade	104114	104144	30	
Fixation	104144	104534	390	
Saccade	104534	104584	50	14.91
Fixation	104584	104864	280	
Saccade	104864	104884	20	
Saccade	104904	104924	20	
Fixation	104924	105384	460	
Saccade	105384	105394	10	1.59
Fixation	105394	105584	190	
Fixation	105644	105803	160	
Saccade	105803	105813	10	2.29
Fixation	105813	106483	670	
Saccade	106633	106653	20	
Saccade	106733	106773	40	
Saccade	106823	106863	40	
Saccade	106893	106923	30	
Saccade	106983	106993	10	
Saccade	107023	107063	40	
Saccade	107103	107113	10	
Fixation	107113	107183	70	
Saccade	107183	107193	10	2.32
Fixation	107193	107303	110	
Saccade	107303	107382	80	22.17
Fixation	107382	107492	110	
Saccade	107752	107772	20	
Fixation	107772	108172	400	
Saccade	108172	108282	110	
Saccade	108292	108312	20	
Fixation	108312	108402	90	
Saccade	108402	108452	50	
Saccade	108482	108502	20	
Saccade	108522	108542	20	
Fixation	108542	108642	100	
Saccade	108642	108662	20	3.36
Fixation	108662	108752	90	
Saccade	108962	109022	60	
Fixation	109022	109551	530	
Fixation	109691	110271	580	
Saccade	110391	110421	30	
Saccade	110451	110481	30	
Fixation	110491	110601	110	
Saccade	110601	110631	30	8.73
Fixation	110631	110711	80	
Saccade	110711	110721	10	2.49
Fixation	110721	110850	130	
Saccade	110990	111010	20	
Fixation	111010	111180	170	
Saccade	111180	111270	90	
Saccade	111310	111330	20	
Fixation	111330	111500	170	
Saccade	111500	111560	60	
Fixation	111670	111820	150	
Saccade	111820	111870	50	5.55
Fixation	111870	112030	160	
Saccade	112030	112060	30	8.62
Fixation	112060	112190	130	
Saccade	112190	112260	70	6.59
Fixation	112260	112500	240	
Saccade	112500	112529	30	2.19
Fixation	112529	112629	100	
Saccade	112959	112969	10	
Fixation	112969	113199	230	
Saccade	113199	113219	20	4.3
Fixation	113219	113319	100	
Saccade	113319	113359	40	9.72
Fixation	113359	113499	140	
Fixation	113559	113659	100	
Saccade	113659	113669	10	1.74
Fixation	113669	113739	70	
Saccade	113739	113759	20	2.39
Fixation	113759	113859	100	
Saccade	113859	113889	30	8.56
Fixation	113889	114288	400	
Saccade	114288	114308	20	
Saccade	114328	114348	20	
Fixation	114348	114538	190	
Fixation	114658	114778	120	
Saccade	114778	114788	10	
Saccade	114798	114838	40	
Fixation	114838	114968	130	
Saccade	114968	114988	20	2.64
Fixation	114988	115068	80	
Saccade	115068	115088	20	3.58
Fixation	115088	115198	110	
Fixation	115438	115908	470	
Saccade	115908	115927	20	
Saccade	115967	115987	20	
Fixation	115987	116637	650	
Fixation	116657	116737	80	
Saccade	116927	116967	40	
Fixation	116967	117157	190	
Saccade	117157	117177	20	
Saccade	117197	117217	20	
Fixation	117217	117397	180	
Saccade	117467	117497	30	
Fixation	117497	117686	190	
Saccade	117686	117726	40	
Saccade	117766	117786	20	
Saccade	117806	117826	20	
Fixation	117826	117936	110	
Saccade	117936	117966	30	
Saccade	118006	118016	10	
Saccade	118076	118096	20	
Saccade	118266	118306	40	
Fixation	118306	118696	390	
Fixation	118776	119216	440	
Saccade	119216	119236	20	
Saccade	119276	119296	20	
Saccade	119395	119445	50	
Saccade	119465	119485	20	
Fixation	119485	119585	100	
Saccade	119585	119615	30	8.42
Fixation	119615	119705	90	
Fixation	119725	119865	140	
Saccade	119865	119895	30	
Saccade	119905	119915	10	
Saccade	120075	120095	20	
Fixation	120095	120175	80	
Saccade	120175	120215	40	
Saccade	120265	120285	20	
Fixation	120345	120475	130	
Saccade	120475	120495	20	1.58
Fixation	120495	120565	70	
Saccade	120565	120575	10	
Saccade	120595	120645	50	
Saccade	120665	120705	40	
Fixation	120705	120775	70	
Saccade	120875	120895	20	
Saccade	120955	120975	20	
Fixation	120975	121055	80	
Saccade	121055	121065	10	
Saccade	121134	121154	20	
Saccade	121164	121184	20	
Fixation	121184	121354	170	
Saccade	121354	121364	10	
Saccade	121384	121424	40	
Fixation	121424	121594	170	
Fixation	121714	121854	140	
Saccade	121854	121864	10	1.89
Fixation	121864	121954	90	
Saccade	121954	121974	20	5.37
Fixation	121974	122234	260	
Saccade	122394	122414	20	
Saccade	122534	122574	40	
Saccade	122604	122624	20	
Saccade	122634	122664	30	
Saccade	122803	122823	20	
Fixation	122823	122973	150	
Saccade	122973	122983	10	
Saccade	123013	123053	40	
Fixation	123093	123213	120	
Saccade	123253	123273	20	
Saccade	123293	123303	10	
Saccade	123323	123343	20	
Saccade	123363	123383	20	
Fixation	123383	123483	100	
Saccade	123483	123503	20	2.3
Fixation	123503	123583	80	
Saccade	123583	123603	20	
Saccade	123623	123633	10	
Saccade	123643	123663	20	
Fixation	123663	123753	90	
Saccade	123883	123963	80	
Fixation	123963	124103	140	
Saccade	124103	124123	20	
Saccade	124133	124163	30	
Fixation	124163	124343	180	
Saccade	124343	124363	20	1.51
Fixation	124363	124652	290	
Saccade	124652	124672	20	5.48
Fixation	124672	124952	280	
Fixation	125092	125392	300	
Saccade	125392	125402	10	
Saccade	125462	125482	20	
Saccade	125492	125502	10	
Saccade	125522	125542	20	
Saccade	125552	125582	30	
Saccade	125772	125802	30	
Fixation	125802	125922	120	
Saccade	125922	125942	20	10.91
Fixation	125942	126291	350	
Saccade	126291	126331	40	
Saccade	126551	126571	20	
Saccade	126611	126651	40	
Fixation	126651	127011	360	
Saccade	127161	127171	10	
Fixation	127171	127331	160	
Saccade	127331	127361	30	
Saccade	127371	127391	20	
Fixation	127391	127551	160	
Saccade	127551	127591	40	3.4
Fixation	127591	127990	400	
Saccade	128140	128150	10	
Saccade	128160	128170	10	
Saccade	128180	128200	20	
Saccade	128220	128240	20	
Fixation	128240	128310	70	
Saccade	128310	128350	40	1.14
Fixation	128350	128540	190	
Fixation	128560	128740	180	
Saccade	128740	128760	20	5.64
Fixation	128760	128840	80	
Fixation	128860	128960	100	
Saccade	128960	128980	20	5.39
Fixation	128980	129160	180	
Saccade	129160	129180	20	1.73
Fixation	129180	129270	90	
Saccade	129270	129290	20	
Saccade	129430	129460	30	
Saccade	129639	129649	10	
Fixation	129649	129779	130	
Saccade	129779	129809	30	
Saccade	129869	129939	70	
Fixation	129939	130029	90	
Saccade	130029	130039	10	
Saccade	130049	130069	20	
Saccade	130089	130109	20	
Saccade	130129	130149	20	
Saccade	130169	130189	20	
Saccade	130329	130369	40	
Fixation	130369	130459	90	
Saccade	130459	130539	80	22.35
