start_time	end_time	Carton	IFU	Instructions	Phone	Pump Unit	ReservoirUnit	YpsoPod	skin
122.96	123.2	274.1	1600.0	328.4	0.0	1600.0	1600.0	1600.0	1600.0
123.238	123.568	276.4	1600.0	335.3	0.0	1600.0	1600.0	1600.0	1600.0
123.576	123.786	335.9	1600.0	354.6	0.0	1600.0	1600.0	1600.0	1600.0
123.794	124.164	279.7	1600.0	318.1	0.0	1600.0	1600.0	1600.0	1600.0
124.206	125.165	278.4	1600.0	323.2	0.0	1600.0	1600.0	1600.0	1600.0
125.184	125.274	275.5	1600.0	299.8	0.0	1600.0	1600.0	1600.0	1600.0
125.317	125.567	282.4	1600.0	327.6	0.0	1600.0	1600.0	1600.0	1600.0
125.588	125.938	313.5	1600.0	359.3	0.0	1600.0	1600.0	1600.0	1600.0
125.948	126.078	375.8	1600.0	333.7	0.0	1600.0	1600.0	1600.0	1600.0
126.134	126.394	377.4	1600.0	386.3	26.2	1600.0	1600.0	1600.0	1600.0
126.413	126.643	372.2	1600.0	369.8	0.0	1600.0	1600.0	1600.0	1600.0
126.668	126.738	363.8	1600.0	318.8	0.0	1600.0	1600.0	1600.0	1600.0
126.815	127.085	366.8	1600.0	320.9	0.0	1600.0	1600.0	1600.0	1600.0
127.103	127.973	366.6	1600.0	335.6	0.0	1600.0	1600.0	1600.0	1600.0
128.103	128.173	650.5	1600.0	0.0	552.3	1600.0	1600.0	1600.0	1600.0
128.187	128.657	620.9	1600.0	0.0	531.8	1600.0	1600.0	1600.0	1600.0
128.674	129.314	573.3	1600.0	0.0	470.8	1600.0	1600.0	1600.0	1600.0
129.373	129.613	483.3	1600.0	0.0	373.9	1600.0	1600.0	1600.0	1600.0
129.634	129.894	437.8	1600.0	0.0	325.7	1600.0	1600.0	1600.0	661.2
129.986	130.186	418.4	1600.0	0.0	299.8	1600.0	1600.0	1600.0	685.9
130.225	130.325	372.8	1600.0	0.0	243.1	1600.0	1600.0	1600.0	1600.0
130.353	130.713	411.5	1600.0	0.0	291.8	1600.0	1600.0	1600.0	1600.0
130.813	131.043	366.5	1600.0	358.7	0.0	1600.0	1600.0	1600.0	1600.0
131.081	131.291	378.8	1600.0	308.4	0.0	1600.0	1600.0	1600.0	1600.0
131.301	131.831	301.2	1600.0	280.6	0.0	1600.0	1600.0	1600.0	1600.0
131.934	132.304	424.7	1600.0	341.9	0.0	1600.0	1600.0	1600.0	1600.0
132.35	132.51	526.5	1600.0	458.2	29.8	1600.0	1600.0	1600.0	1600.0
132.581	132.721	497.3	1600.0	428.5	0.0	1600.0	1600.0	1600.0	1600.0
132.751	133.021	376.4	1600.0	331.2	0.0	1600.0	1600.0	1600.0	1600.0
133.042	133.502	380.1	1600.0	353.7	0.0	1600.0	1600.0	949.7	107.0
133.512	134.182	484.2	1600.0	431.3	0.0	1600.0	1600.0	919.4	1600.0
134.203	134.363	399.8	1600.0	286.3	0.0	1600.0	1600.0	877.1	1600.0
134.399	134.979	378.3	1600.0	262.4	0.0	1600.0	1600.0	1600.0	1600.0
134.999	135.079	373.2	578.1	21.0	218.1	1600.0	1600.0	1600.0	1600.0
135.251	135.351	380.6	1600.0	0.0	277.3	1600.0	1600.0	1600.0	1600.0
