event_type	start_time	end_time	duration	saccade_amplitude
Saccade	101565	101625	60	
Fixation	101625	101915	290	
Fixation	101955	102065	110	
Fixation	102085	102215	130	
Fixation	102235	102755	520	
Fixation	102855	102955	100	
Saccade	102955	102965	10	3.4
Fixation	102965	103084	120	
Saccade	103124	103144	20	
Fixation	103144	103454	310	
Fixation	103474	103564	90	
Saccade	103564	103634	70	
Saccade	103654	103744	90	
Fixation	103744	103874	130	
Saccade	103874	103914	40	10.38
Fixation	103914	104024	110	
Fixation	104044	104264	220	
Fixation	104304	104604	300	
Saccade	104624	104664	40	
Fixation	104704	104843	140	
Saccade	104843	104873	30	7.98
Fixation	104873	105193	320	
Fixation	105353	105803	450	
Saccade	105803	105833	30	
Saccade	105923	105963	40	
Saccade	105973	105993	20	
Saccade	106003	106033	30	
Saccade	106043	106073	30	
Saccade	106083	106113	30	
Fixation	106113	106213	100	
Saccade	106213	106233	20	4.09
Fixation	106233	106433	200	
Saccade	106552	106572	20	
Fixation	106572	106952	380	
Saccade	106952	106962	10	2.79
Fixation	106962	107112	150	
Fixation	107212	107292	80	
Saccade	107292	107312	20	4.02
Fixation	107312	107542	230	
Saccade	107542	107572	30	8.33
Fixation	107572	107832	260	
Fixation	107852	108331	480	
Fixation	108451	108561	110	
Saccade	108561	108591	30	3.63
Fixation	108591	109011	420	
Saccade	109011	109021	10	2.61
Fixation	109021	109101	80	
Fixation	109221	109711	490	
Saccade	109711	109731	20	2.84
Fixation	109731	109880	150	
Saccade	109880	109900	20	2.8
Fixation	109900	110080	180	
Fixation	110100	110460	360	
Saccade	110460	110490	30	
Fixation	110540	111000	460	
Fixation	111040	111240	200	
Fixation	111320	111500	180	
Saccade	111500	111570	70	15.8
Fixation	111570	112049	480	
Fixation	112069	112269	200	
Saccade	112269	112279	10	5.86
Fixation	112279	112489	210	
Fixation	112509	112799	290	
Fixation	112819	113009	190	
Saccade	113009	113019	10	3.48
Fixation	113019	113159	140	
Fixation	113279	113548	270	
Saccade	113568	113588	20	
Fixation	113588	113778	190	
Saccade	113778	113828	50	
Saccade	113908	113968	60	
Fixation	113968	114308	340	
Fixation	114328	115058	730	
Fixation	115077	115287	210	
Fixation	115307	115647	340	
Fixation	115667	115807	140	
Fixation	115827	116267	440	
Fixation	116407	116806	400	
Fixation	116826	118046	1219	
Saccade	118236	118266	30	
Fixation	118266	118495	230	
Saccade	118495	118525	30	
Saccade	118635	118665	30	
Fixation	118665	118805	140	
Fixation	118945	119385	440	
Fixation	119405	120005	600	
Fixation	120204	121004	800	
